"Дата"	"Сумма"	"Валюта"	"Счет"	"Статья"	"Группа статей"	"Комментарий"
"2026.03.31"	-514		"Мои деньги"	"Продукты"	""	""
"2026.03.31"	-977		"Мои деньги"	"Еда"	""	""
"2026.03.31"	-1629		"Мои деньги"	"Еда"	""	""
"2026.03.31"	-1029		"Мои деньги"	"Еда"	""	""
"2026.03.31"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.31"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.31"	-3742		"Мои деньги"	"Связь и подписки"	""	"Телеграмм премиум"
"2026.03.31"	-7486		"Мои деньги"	"Связь и подписки"	""	"Мтс"
"2026.03.29"	-785		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.29"	-790		"Мои деньги"	"Еда"	""	""
"2026.03.29"	-1013		"Мои деньги"	"Еда"	""	""
"2026.03.29"	-972		"Мои деньги"	"Продукты"	""	""
"2026.03.29"	-1328		"Мои деньги"	"Еда"	""	""
"2026.03.29"	-2000		"Мои деньги"	"Досуг"	""	"Бильярд"
"2026.03.27"	-28200		"Мои деньги"	"Спорт"	""	"Зал"
"2026.03.26"	-1500		"Мои деньги"	"Связь и подписки"	""	"Стекло"
"2026.03.26"	-8196		"Мои деньги"	"Коммуналка"	""	""
"2026.03.26"	-1383		"Мои деньги"	"Еда"	""	""
"2026.03.26"	-1053		"Мои деньги"	"Еда"	""	""
"2026.03.26"	-10025		"Мои деньги"	"Спорт"	""	"Спорт пит"
"2026.03.25"	-1290		"Мои деньги"	"Еда"	""	""
"2026.03.25"	-1440		"Мои деньги"	"Еда"	""	""
"2026.03.25"	-6600		"Мои деньги"	"Продукты"	""	""
"2026.03.25"	-1274		"Мои деньги"	"Еда"	""	""
"2026.03.24"	-1274		"Мои деньги"	"Еда"	""	""
"2026.03.24"	-1214		"Мои деньги"	"Еда"	""	""
"2026.03.24"	-1096		"Мои деньги"	"Еда"	""	""
"2026.03.24"	-917		"Мои деньги"	"Еда"	""	""
"2026.03.24"	-1169		"Мои деньги"	"Еда"	""	""
"2026.03.23"	-3000		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.19"	-1368		"Мои деньги"	"Еда"	""	""
"2026.03.19"	-1537		"Мои деньги"	"Красота"	""	""
"2026.03.19"	-2450		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.18"	-3568		"Мои деньги"	"Досуг"	""	""
"2026.03.18"	-14780		"Мои деньги"	"Одежда"	""	""
"2026.03.18"	-8500		"Мои деньги"	"Одежда"	""	""
"2026.03.18"	-1419		"Мои деньги"	"Еда"	""	""
"2026.03.18"	-390		"Мои деньги"	"Досуг"	""	""
"2026.03.18"	-1135		"Мои деньги"	"Еда"	""	""
"2026.03.18"	-1100		"Мои деньги"	"Продукты"	""	""
"2026.03.18"	-8156		"Мои деньги"	"Коммуналка"	""	""
"2026.03.18"	-972		"Мои деньги"	"Еда"	""	""
"2026.03.18"	-1540		"Мои деньги"	"Здоровье"	""	""
"2026.03.18"	-1540		"Мои деньги"	"Еда"	""	""
"2026.03.18"	-2597		"Мои деньги"	"Досуг"	""	""
"2026.03.16"	-1124		"Мои деньги"	"Еда"	""	""
"2026.03.16"	-976		"Мои деньги"	"Еда"	""	""
"2026.03.16"	-9000		"Мои деньги"	"Досуг"	""	"Рестик"
"2026.03.16"	-1200		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.16"	-2760		"Мои деньги"	"Досуг"	""	""
"2026.03.16"	-799		"Мои деньги"	"Досуг"	""	""
"2026.03.16"	-1100		"Мои деньги"	"Еда"	""	""
"2026.03.16"	-1040		"Мои деньги"	"Еда"	""	""
"2026.03.16"	-1090		"Мои деньги"	"Еда"	""	""
"2026.03.14"	-390		"Мои деньги"	"Досуг"	""	""
"2026.03.14"	-1560		"Мои деньги"	"Еда"	""	""
"2026.03.14"	-1523		"Мои деньги"	"Еда"	""	""
"2026.03.14"	-75570		"Мои деньги"	"Жилье"	""	""
"2026.03.13"	-1450		"Мои деньги"	"Еда"	""	""
"2026.03.13"	-1200		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.12"	-1230		"Мои деньги"	"Досуг"	""	""
"2026.03.12"	-3540		"Мои деньги"	"Досуг"	""	"Боулинг"
"2026.03.12"	-940		"Мои деньги"	"Досуг"	""	""
"2026.03.12"	-523		"Мои деньги"	"Транспорт"	""	""
"2026.03.12"	-1500		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.12"	-1150		"Мои деньги"	"Еда"	""	""
"2026.03.12"	-523		"Мои деньги"	"Транспорт"	""	""
"2026.03.12"	-740		"Мои деньги"	"Транспорт"	""	"Такси"
"2026.03.11"	-2312		"Мои деньги"	"Еда"	""	""
"2026.03.11"	-799		"Мои деньги"	"Досуг"	""	""
"2026.03.11"	-1084		"Мои деньги"	"Продукты"	""	""
"2026.03.10"	-3000		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.03.10"	-2600		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.10"	-1125		"Мои деньги"	"Еда"	""	""
"2026.03.10"	-1629		"Мои деньги"	"Еда"	""	""
"2026.03.09"	-799		"Мои деньги"	"Досуг"	""	""
"2026.03.09"	-1800		"Мои деньги"	"Еда"	""	""
"2026.03.09"	-3600		"Мои деньги"	"Досуг"	""	"Картинг"
"2026.03.09"	-210		"Мои деньги"	"Продукты"	""	""
"2026.03.09"	-3000		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.03.09"	-1287		"Мои деньги"	"Еда"	""	""
"2026.03.09"	-99		"Мои деньги"	"Досуг"	""	""
"2026.03.08"	-2000		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.08"	-1090		"Мои деньги"	"Еда"	""	""
"2026.03.08"	-2590		"Мои деньги"	"Еда"	""	""
"2026.03.08"	-2025		"Мои деньги"	"Еда"	""	""
"2026.03.08"	-1670		"Мои деньги"	"Еда"	""	""
"2026.03.08"	-2000		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.08"	-170		"Мои деньги"	"Досуг"	""	""
"2026.03.07"	-1000		"Мои деньги"	"Чаевые"	""	"Стрижка"
"2026.03.07"	-2600		"Мои деньги"	"Красота"	""	"Стрижка"
"2026.03.07"	-999		"Мои деньги"	"Связь и подписки"	""	"Етель"
"2026.03.07"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.03.07"	-99		"Мои деньги"	"Досуг"	""	""
"2026.03.07"	-2026		"Мои деньги"	"Еда"	""	""
"2026.03.07"	-800		"Мои деньги"	"Досуг"	""	""
"2026.03.06"	-800		"Мои деньги"	"Досуг"	""	""
"2026.03.06"	-297		"Мои деньги"	"Досуг"	""	""
"2026.03.05"	-1671		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-6931		"Мои деньги"	"Продукты"	""	""
"2026.03.04"	-1090		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-1629		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-519		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-1189		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-949		"Мои деньги"	"Еда"	""	""
"2026.03.04"	-1644		"Мои деньги"	"Еда"	""	""
"2026.02.28"	-19251		"Мои деньги"	"Подарки"	""	"Мама"
"2026.02.24"	-1608		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-1221		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-100		"Мои деньги"	"Чаевые"	""	"Рестик"
"2026.02.23"	-1560		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-2500		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.02.23"	-1800		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.23"	-2250		"Мои деньги"	"Спорт"	""	"Корт"
"2026.02.23"	-900		"Мои деньги"	"Досуг"	""	""
"2026.02.23"	-3414		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-2050		"Мои деньги"	"Досуг"	""	""
"2026.02.23"	-1072		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-611		"Мои деньги"	"Здоровье"	""	""
"2026.02.23"	-972		"Мои деньги"	"Продукты"	""	""
"2026.02.23"	-159		"Мои деньги"	"Досуг"	""	""
"2026.02.23"	-1844		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-1221		"Мои деньги"	"Еда"	""	""
"2026.02.23"	-1560		"Мои деньги"	"Еда"	""	""
"2026.02.22"	-1845		"Мои деньги"	"Еда"	""	""
"2026.02.20"	-1713		"Мои деньги"	"Еда"	""	""
"2026.02.20"	-41		"Мои деньги"	"Продукты"	""	""
"2026.02.19"	-1834		"Мои деньги"	"Продукты"	""	""
"2026.02.19"	-723		"Мои деньги"	"Продукты"	""	""
"2026.02.19"	-1222		"Мои деньги"	"Продукты"	""	""
"2026.02.19"	-600		"Мои деньги"	"Спорт"	""	"Турнир"
"2026.02.19"	-949		"Мои деньги"	"Еда"	""	""
"2026.02.19"	-1293		"Мои деньги"	"Связь и подписки"	""	"МТС"
"2026.02.18"	-75914		"Мои деньги"	"Жилье"	""	""
"2026.02.18"	-18539		"Мои деньги"	"Жилье"	""	"Отель"
"2026.02.18"	-949		"Мои деньги"	"Еда"	""	""
